,ID,Comment
55,쟈바미유메코,"세트는 솔직히 진짜 개너프당해야함 W개사기 
에초에 탑은 상성싸움이라 후픽이 유리한겜인데 얘는 선픽이여도 카운터가없으니 

걍 천하무적이지  그러니까 LCK에서 매번 밴아니면 픽인거고

거기다 전라인 다 쌉가능이고"
56,I M T,0:46에 니달리 창 맞은거 노린거같은데 진짜 이 각을 어떻게 보지;
57,타나,세나같은 초장거리 챔이 와드 설치하자마자 한방에 지우면  개짜증나;
58,B lack,니달리w에 정글몹 스턴됬던 패치는 언제였지 개사기였는데
59,THE시드,안녕하세요 8트
60,New Player,"니달리,엘리스 정도,크게 쳐야 아펠을 제외하고는 하위티어 애들도 빡세하는 놈들인데"
61,js p,"내 니달리는 블루, 두꺼비랑 영혼의 싸움을하는데 정글링이 빠르다니..."
62,TTDH,2:50 정글 세트는 좀ㅋㅋ
63,도미솔,10:21 화염포 절단검만 남겨서 라인전 최강 원딜 컨셉 잡아도 좋았겠다
64,Gimoring EingEing,6:46 아니 에코 미친 ㅋㅋㅋㅋㅋㅋ
65,Oaru kaya,6:15 올해는 챔프가 2명 더 나오고 끝이겠군?
66,최인혁,"0:22 역시 킹스터이;

마스터이씨의 밴률 체크;"
67,유원호,이분 영상 볼때마다 뭔가 롤지식올라가서 애들하고 할때 잘하는척 쌉가능임ㅋㅋㅋ
68,최인혁,갠적으로 천상계고뭐고 다이아하위권만되도 엘리스 판테온 두개는 무조건 밴하는게 맞다고봄 개씹사기
69,아드카나,2:31 아칼리:??
70,짜장돌격,짜오는 (내 픽창)어디에도 있으며 (PS영상)어디에도 없다. -원챔러의 특징
71,TCH ;,천상계에서 좋다라.... 난 왜 이 영상을..
72,민준희,12:18 천상계는 바루스 궁은 기본적으로 무빙으로 삭 피하는구나;;
73,ය 분자 ය,2:12 ???:미드 유미
74,나천재,10.6 패치가 언제죠?
75,그루트,근데 아펠은 너프할게 아니라 원딜 다른걸 버프시켜줘야 하는거같은데..
76,부처,내기 어려워하는챔프라
77,개새끼,자꾸 피하네.
78,인간인간,야 스 오가 없군요 ;;
79,ᄋᄋᄋ,"진짜 제발 엘리스 삭제좀...
뭔 갱오면 내 도움 없이도 혼자 정리함"
80,임의현,아니 천상계가 까다로운챔픈데 실딱이인 내가보로온건뭐야
81,민트색 아이스크림,*주의*: 당신은 천상계가 아닙니다
82,영일,응 너 벤ㅋㅋㅋㅋ 형님 영상 항상 잘보는 중입니다!!
83,룰루보다 잘웃음,까다로운 룰루 어떰?
84,3티어,???:모르겠고 난 입터는 팀원 채팅밴
85,???,태그 응 너 밴 ㅋㅋㅋ
86,PARE LOL,10:04 진짜 얘는 원딜계의 아칼리인듯.. 스킬셋이 특이해서 몇번이고 너프해놔도 천상계에선 드럽게잘씀 5티어돼도 프로에선 나올 각
87,유송수,세나 ㄹㅇㅋㅋ
88,Gun P,천상계가 아닌난 왜 이걸볼까
89,김다빈,처음에 니달리창이 어떻게 미니언사이로 해서 맞지 ㄷㄷ
